Supplier IB to DC/Store Carrier,Residential Delivery Carrier (Hd.com),Destination Zip
AACT,AACT,AL
SEFL,CTII,AR
XGSI,FXFE,AZ
XGSI,FXFE,CO
BXID,BXID,CT
BXID,BXID,DC
BXID,BXID,DE
XGSI,AACT,FL
AACT,AACT,GA
XGSI,BXID,IA
XGSI,FXFE,ID
BXID,BXID,IL
XGSI,BXID,IN
XGSI,FXFE,KS
XGSI,CTII,KY
AACT,AACT,LA
BXID,BXID,MA
BXID,BXID,MD
BXID,BXID,ME
XGSI,CTII,MI
BXID,BXID,MN
XGSI,FXFE,MO
AACT,AACT,MS
XGSI,FXFE,MT
AACT,AACT,NC
XGSI,AACT,NCA
AACT,BXID,ND
XGSI,ABFS,NE
BXID,BXID,NH
BXID,BXID,NJ
XGSI,FXFE,NM
XGSI,FXFE,NV
BXID,BXID,NY
XGSI,CTII,OH
XGSI,CTII,OK
XGSI,AACT,OR
BXID,BXID,PA
BXID,BXID,RI
AACT,AACT,SC
XGSI,AACT,SCA
BXID,BXID,SD
AACT,AACT,TN
AACT,CTII,TX
XGSI,FXFE,UT
SEFL,FXFE,VA
BXID,BXID,VT
XGSI,AACT,WA
BXID,BXID,WI
XGSI,FXFE,WV
XGSI,FXFE,WY
