SKU,Short Description,Carton Len (in),Carton Wid (in),Carton Hgt (in),Carton Weight (lb)
2001-H,Thor Stool Hardware,6,3,2,1
2002-H,Jaden Dining Chair Hardware,6,3,2,2
2003-H,Jaden Counter Stool Hardware,6,3,2,2
3100-H,Thor Night Stand Hardware,4,4,4,2
3102-H,Apollo Curved Edges Night Stand Hardware,0,0,0,0
3103-H,Loki Night Stand Hardware,0,0,0,0
4002-H,"62""-90 "" Extension Dining Table Hardware",4,4,4,2
4003-H,"68"" Solid Wood Dining Table Hardware",0,0,0,0
4801-H,Diamons Dining Table Leg Hardware,4,4,4,2
6001-H,Arched Door Display Unit Hardware,0,0,0,0
6002-H,Wall Shell Hardware,0,0,0,0
6004-H,5 Tier Bookcase With Drawer - Hardware,0,0,0,0
7002-H,Arched Door Storage Cabinet Hardware,0,0,0,0
7003-H,Curved Edges Storage Cabinet Hardware,0,0,0,0
7004,0,0,0,0,
9001-G,Nesto Bed Replacement - Part A - 2 Side Rails Light Oak,0,0,0,0
9001-H,Nesto Bed Hardware,0,0,0,0
9001-Leg,Nesto Bed Replacement - Part H - 4 pcs of legs,0,0,0,0
9003-G,Nesto Bed Replacement - Part A - 2 Side Rails Walnut,0,0,0,0
9006-G,Nesto Bed Replacement - Part A - 2 Side Rails Mahogany,0,0,0,0
9010-A,Thor Bed Replacement - Part A - Legs - Light Brown,17,9,9,0
9010-C,Thor Bed Replacement - Part C - King/Queen/Twin XL Side Rail - Light Oak,88,6,5,0
9010-D,Thor Bed Replacement - Part D - King/Queen/Twin XL Side Rail - Light Oak,0,0,0,0
9010-E,Thor Bed Replacement - Part E - Support Legs - Light Oak,0,0,0,0
9010-H,Thor Bed Hardware - Light Oak,4,4,4,2
9011-A,Thor Bed Replacement - Part A - Legs - Black,17,9,9,0
9011-C,Thor Bed Replacement - Part C - King/Queen/Twin XL - Side Rail - Mid-night Charcoal,0,0,0,0
9011-E,Thor Bed Replacement - Part E - Support Legs - Mid-Night Charcoal,0,0,0,0
9011-H,Thor Bed Hardware - Black,4,4,4,2
9012-A,Thor Bed Replacement - Part A - Legs - Light Brown,17,9,9,0
9012-C,Thor Bed Replacement - Part C - Side Rail - King/Queen/Twin XL - Light Brown,0,0,0,0
9012-E,Thor Bed Replacement - Part E - Support Legs - Light Brown,0,0,0,0
9012-H,Thor Bed Hardware - Light Brown,4,4,4,2
9013-A,Thor Bed Replacement - Part A - Legs - Walnut,17,9,9,0
9013-C,Thor Bed Replacement - Part C - King/Queen/Twin XL - Side Rail - Walnut,0,0,0,0
9013-E,Thor Bed Replacement - Part E - Support Legs (3 pcs) - Walnut,0,0,0,0
9013-H,Thor Bed Hardware- Dark Walnut,0,0,0,0
9016-A,Thor Bed Replacement - Part A - Legs - Mahogany,0,0,0,0
9016-C,Thor Bed Replacement - Part C - King/Queen/Twin XL - Side Rail - Mahogany,0,0,0,0
9016-E,Thor Bed Replacement - Part E - Support Legs (3 pcs) - Mahogany,0,0,0,0
9016-H,Thor Bed Hardware- Mahogany,0,0,0,0
9020-G,Loki Bed Replacement - Part G - Support Legs (3 pcs) - Light Oak,0,0,0,0
9020-H,Mid-Century Hardware - King and Queen Size,0,0,0,0
