State,1 (nearest),2,3,4,5,6 (farthest)
AL,Calhoun,SAV,HOU07,NJF02,CAP,MEM-R
AR,HOU07,Calhoun,SAV,NJF02,CAP,MEM-R
AZ,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
CO,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
CT,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
DC,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
DE,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
FL,SAV,Calhoun,HOU07,NJF02,CAP,MEM-R
GA,Calhoun,SAV,NJF02,HOU07,CAP,MEM-R
IA,Calhoun,HOU07,SAV,NJF02,CAP,MEM-R
ID,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
IL,Calhoun,NJF02,SAV,HOU07,CAP,MEM-R
IN,Calhoun,SAV,NJF02,HOU07,CAP,MEM-R
KS,HOU07,Calhoun,SAV,CAP,NJF02,MEM-R
KY,Calhoun,SAV,NJF02,HOU07,CAP,MEM-R
LA,HOU07,Calhoun,SAV,NJF02,CAP,MEM-R
MA,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
MD,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
ME,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
MI,NJF02,Calhoun,SAV,HOU07,CAP,MEM-R
MN,Calhoun,NJF02,HOU07,SAV,CAP,MEM-R
MO,Calhoun,HOU07,SAV,NJF02,CAP,MEM-R
MS,Calhoun,HOU07,SAV,NJF02,CAP,MEM-R
MT,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
NC,SAV,Calhoun,NJF02,HOU07,CAP,MEM-R
NCA,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
ND,Calhoun,HOU07,CAP,NJF02,SAV,MEM-R
NE,HOU07,Calhoun,SAV,NJF02,CAP,MEM-R
NH,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
NJ,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
NM,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
NV,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
NY,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
OH,Calhoun,NJF02,SAV,HOU07,CAP,MEM-R
OK,HOU07,Calhoun,SAV,CAP,NJF02,MEM-R
OR,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
PA,NJF02,Calhoun,SAV,HOU07,CAP,MEM-R
RI,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
SC,SAV,Calhoun,NJF02,HOU07,CAP,MEM-R
SCA,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
SD,Calhoun,HOU07,SAV,NJF02,CAP,MEM-R
TN,Calhoun,SAV,HOU07,NJF02,CAP,MEM-R
TX,HOU07,Calhoun,SAV,CAP,NJF02,MEM-R
UT,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
VA,NJF02,SAV,Calhoun,HOU07,CAP,MEM-R
VT,NJF02,Calhoun,SAV,HOU07,CAP,MEM-R
WA,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
WI,Calhoun,NJF02,SAV,HOU07,CAP,MEM-R
WV,NJF02,Calhoun,SAV,HOU07,CAP,MEM-R
WY,CAP,HOU07,Calhoun,SAV,NJF02,MEM-R
